"['g', 0]","['e', 120]","['v', 194]"
"['c', 0]","['m', 133]","['b', 291]"
"['d', 0]","['f', 134]","['u', 182]"
"['r', 0]","['h', 128]","['v', 269]"
"['d', 0]","['i', 93]","['w', 233]"
"['g', 0]","['f', 111]","['v', 193]"
"['a', 0]","['m', 153]","['v', 240]"
"['c', 0]","['h', 37]","['v', 76]"
"['g', 0]","['i', 62]","['u', 171]"
"['c', 0]","['i', 95]","['w', 273]"
"['l', 0]","['m', 47]","['u', 145]"
"['r', 0]","['i', 99]","['b', 204]"
"['a', 0]","['e', 160]","['u', 196]"
"['r', 0]","['i', 144]","['b', 294]"
"['d', 0]","['e', 60]","['u', 485]"
"['c', 0]","['i', 120]","['v', 319]"
"['a', 0]","['h', 32]","['u', 611]"
"['a', 0]","['h', 59]","['b', 159]"
"['d', 0]","['i', 398]","['u', 922]"
"['d', 0]","['i', 169]","['b', 327]"
"['d', 0]","['f', 160]","['v', 240]"
"['r', 0]","['m', 416]","['w', 883]"
"['l', 0]","['m', 101]","['u', 567]"
"['c', 0]","['f', 59]","['u', 120]"
"['a', 0]","['e', 428]","['w', 477]"
"['r', 0]","['m', 113]","['w', 221]"
"['d', 0]","['m', 112]","['b', 225]"
"['a', 0]","['f', 66]","['b', 117]"
"['r', 0]","['e', 67]","['v', 187]"
"['l', 0]","['h', 117]","['u', 153]"
"['c', 0]","['f', 105]","['v', 470]"
"['r', 0]","['h', 546]","['w', 621]"
"['d', 0]","['h', 30]","['u', 524]"
"['a', 0]","['m', 123]","['b', 292]"
"['r', 0]","['h', 33]","['w', 77]"
"['g', 0]","['i', 68]","['b', 600]"
"['a', 0]","['m', 131]","['b', 491]"
"['c', 0]","['m', 155]","['v', 267]"
"['r', 0]","['f', 148]","['b', 258]"
"['l', 0]","['i', 29]","['b', 183]"
"['a', 0]","['e', 44]","['v', 409]"
"['r', 0]","['f', 162]","['w', 211]"
"['d', 0]","['i', 46]","['v', 148]"
"['d', 0]","['i', 29]","['u', 601]"
"['l', 0]","['m', 50]","['v', 436]"
"['a', 0]","['e', 371]","['b', 456]"
"['c', 0]","['m', 69]","['b', 150]"
"['c', 0]","['i', 112]","['v', 263]"
"['a', 0]","['f', 80]","['u', 224]"
"['a', 0]","['h', 82]","['w', 208]"
"['r', 0]","['h', 104]","['b', 647]"
"['c', 0]","['m', 102]","['b', 429]"
"['g', 0]","['h', 124]","['v', 263]"
"['g', 0]","['e', 263]","['u', 359]"
"['d', 0]","['f', 180]","['u', 203]"
"['a', 0]","['m', 203]","['v', 268]"
"['l', 0]","['f', 75]","['b', 538]"
"['d', 0]","['h', 120]","['v', 169]"
"['d', 0]","['h', 64]","['v', 527]"
"['a', 0]","['f', 125]","['u', 451]"
"['a', 0]","['m', 350]","['v', 410]"
"['l', 0]","['e', 413]","['u', 483]"
"['d', 0]","['f', 84]","['v', 184]"
"['l', 0]","['m', 94]","['u', 157]"
"['c', 0]","['m', 453]","['u', 510]"
"['a', 0]","['i', 127]","['w', 208]"
"['g', 0]","['e', 97]","['u', 183]"
"['r', 0]","['e', 42]","['b', 135]"
"['l', 0]","['h', 582]","['u', 698]"
"['c', 0]","['e', 390]","['w', 482]"
"['r', 0]","['h', 138]","['v', 217]"
"['r', 0]","['e', 149]","['w', 620]"
